name,category,description,retail_price,bulk_price,bulk_min_qty
GW-002 Hair Straightener,accessories,"Budget ceramic hair straightener for quick everyday styling. Compact and easy to use for home hair straightening.",50,18,120
GW-6576 Hair Dryer 6000W,accessories,"High-power 6000W hair dryer with concentrator nozzle for fast drying. Lightweight barrel and cool-shot function.",280,99,40
GW-6650 Hair Dryer 3000W,accessories,"3000W hair dryer with two heat settings and cool-shot button. Lightweight and suitable for salon or home use.",265,95,40
GW-6568 Hair Dryer 6000W,accessories,"6000W professional-style hair dryer for fast powerful drying. Concentrator attachment included for precise styling.",245,88,40
WG-662 Hair Dryer 1000W,accessories,"Compact 1000W travel-friendly hair dryer with folding handle. Two heat settings and lightweight design for everyday use.",110,38,100
GW-8005 Super Hand Mixer,kitchen,"Electric hand mixer with multiple speed settings for beating eggs cream and batter. Compact and easy to clean.",210,75,24
GW-8032 Electric Kettle,kitchen,"1.8-litre electric kettle with rapid-boil function and auto shut-off. Stainless steel heating element for clean-tasting hot water.",265,95,16
GW-9736 Hair Clipper,accessories,"Professional cordless hair clipper with powerful motor and precision blades. Includes guide combs for multiple cutting lengths.",290,105,60
GW-9775 Hair Clipper,accessories,"Cordless hair clipper with sharp titanium-coated blades. Suitable for home haircuts and professional barbering.",220,78,60
GW-9862 Coloured Hair Clipper,accessories,"Compact cordless hair clipper in multiple colours. Suitable for home grooming and beard trimming.",100,35,100
GW-9781 Gold Hair Clipper,accessories,"Gold-finish cordless electric shaver and clipper. Compact design for daily beard trimming and personal grooming.",90,33,100
KX025 Power Bank 10000MAH,power-banks,"10000mAh portable power bank with dual USB output and fast charge. Slim design for commuting and travel.",220,78,60
GW-139 Power Bank 10000MAH,power-banks,"10000mAh high-capacity power bank with USB-C and USB-A outputs. Reliable backup charge for phones and tablets.",280,100,60
Car Light 4-Inch Round LED,automobile,"4-inch round LED auxiliary spotlight for off-road vehicles and trucks. High-lumen output with durable mounting bracket.",590,210,40
Car Light 3.5-Inch Round LED,automobile,"3.5-inch LED auxiliary spotlight for off-road or truck front-end mounting. Compact and bright for supplementary lighting.",480,170,50
Car Light 3-LED Auxiliary,automobile,"3-LED compact car auxiliary light for supplementary illumination. Easy bracket mounting for most vehicle types.",150,55,100
Car Light 4-LED Auxiliary,automobile,"4-LED car auxiliary light for off-road or supplementary vehicle lighting. Bright output with universal bracket mounting.",210,75,80
Car Light 7-Inch Round LED,automobile,"7-inch round LED driving light for off-road or auxiliary use. High-lumen output with durable weatherproof housing.",640,230,20
Car Light 9-Inch Round LED,automobile,"9-inch large round LED driving light for off-road and truck applications. Maximum brightness output for night driving.",1120,400,10
C15-20-1 Duster Cloth,household,"Soft duster cloth for cleaning surfaces furniture and shelves. Reusable and machine washable for everyday home use.",17,6,
C15-20-2 Large Duster Cloth,household,"Large-format duster cloth for wiping down bigger surfaces. Absorbent and reusable for home and kitchen cleaning.",18,6.5,
C15-20-3 Clothes Hanger,household,"Standard plastic clothes hanger for hanging shirts jackets and garments. Lightweight and space-saving for wardrobe use.",35,13,
C15-20-4 Large Clothes Hanger,household,"Wide-shoulder plastic clothes hanger suitable for coats and heavy garments. Durable and non-slip for wardrobe storage.",50,18,
C15-20-7 Toilet Brush with Holder,household,"Plastic toilet brush with stand holder for bathroom hygiene. Stiff bristles for effective cleaning under the rim.",30,11.5,
C15-20-8 Scouring Ball,household,"Stainless steel or nylon scouring ball for scrubbing pots pans and surfaces. Removes stubborn residue without scratching.",18,6.5,
C15-20-9 Bamboo Skewers 20cm,kitchen,"Pack of bamboo skewers in 20cm length for grilling kebabs and satay. Food-safe natural bamboo with pointed tips.",8,3,
C15-20-10 Bamboo Skewers 15cm,kitchen,"Pack of 15cm bamboo skewers for appetisers and finger food. Food-safe natural bamboo with sharp tips for easy threading.",7,2.5,
C15-20-11 Bamboo Skewers 30cm,kitchen,"Pack of long 30cm bamboo skewers for braai kebabs and grilling. Food-safe natural bamboo with pointed tips.",13,4.5,200
C15-20-12 Welcome Floor Mat,household,"Decorative welcome floor mat for entrance ways and doorsteps. Non-slip backing and easy to clean surface.",50,18,
C15-20-13 English Text Floor Mat,household,"English-text decorative floor mat for entrances. Non-slip backing and durable surface for indoor or covered outdoor use.",40,14,
C15-20-14 English Text Floor Mat (variant),household,"English-text floor mat for home entryways. Compact size with non-slip base and easy-clean surface.",35,13,100
C15-43-1 Basketball,accessories,"Size 7 rubber basketball for outdoor and indoor play. Durable construction with good grip and consistent bounce.",110,38,50
C15-43-3 Golf-Style Football,accessories,"Golf-textured PVC football for recreational play. Standard size with durable stitching and good air retention.",80,28,50
C15-43-3 Size 4 Football,accessories,"Size 4 PVC football suitable for youth and recreational play. Durable construction with reinforced stitching.",70,25,50
C15-43-4 Mini Football,accessories,"Mini foam or rubber football for casual play and kids. Lightweight and safe for indoor or garden use.",45,16,200
C15-43-5 PVC Mini Football,accessories,"Mini PVC football with durable outer layer. Suitable for casual outdoor play and kids recreational use.",60,22,200
C15-43-6 PVC Football PLLE,accessories,"Full-size PVC football with durable construction and strong stitching. Suitable for recreational outdoor football.",210,75,50
C15-43-7 Rugby Football,accessories,"Meng-brand rubber rugby ball for recreational and training use. Standard shape and durable construction.",140,50,100
C15-43-8 Tennis Balls Pack,accessories,"Pack of tennis balls for recreational and practice use. Standard felt-covered rubber for consistent bounce.",60,21,80
C15-43-9 Bouncy Ball 7cm,accessories,"7cm rubber bouncy ball for kids play and recreational use. High-rebound rubber for consistent bounce.",20,8,576
C15-43-10 Flashing Spiky Ball,accessories,"Light-up spiky textured ball that flashes on impact. Fun novelty toy for kids and casual play.",25,9,360
C15-43-10 Whistle 24-Pack,accessories,"Pack of 24 plastic whistles for sports coaching and referee use. Loud clear tone and lightweight plastic construction.",65,24,2400
C15-43-12 Watermelon Ball,accessories,"Novelty watermelon-print rubber ball for kids and casual play. Lightweight and colourful for indoor or outdoor use.",11,4,600
C16-43-9 Football,accessories,"Standard size PVC football for recreational outdoor play. Durable construction with good air retention.",60,22,200
CV307N Football,accessories,"CV307N model PVC football with reinforced stitching. Suitable for recreational and training use.",55,20,50
RS8801 Football,accessories,"RS8801 model PVC football with durable construction. Suitable for outdoor recreational football play.",65,23,50
C16-43-19 Flower Basketball,accessories,"Floral-pattern rubber basketball for casual and recreational play. Size 7 with durable grip surface.",85,30,80
C16-43-20 New Style Basketball,accessories,"New-design rubber basketball with improved grip pattern. Suitable for outdoor courts and recreational play.",150,55,80
C16-43-21 Basketball Needle,accessories,"Inflation needle for basketballs and sports balls. Compatible with standard ball pumps for easy inflation.",75,26,80
C15-24-2 12-Pack Toothbrush Good Corona,household,"Pack of 12 Good Corona brand toothbrushes with soft bristles. Suitable for daily adult oral hygiene.",35,13,100
C15-24-4 12-Pack Abao Toothbrush,household,"Pack of 12 Abao brand toothbrushes for adults. Soft-medium bristles and ergonomic handle for daily brushing.",50,18,48
C15-24-6 30-Pack Sanfeng Toothbrush,household,"Bulk pack of 30 Sanfeng toothbrushes with soft bristles. Ideal for wholesale and resale.",110,39,30
C15-24-11 Dorco Kid's Toothbrush Pack,household,"Pack of Dorco children's toothbrushes with soft bristles and small head. Safe and effective for kids daily brushing.",180,66,288
C15-24-12 Alan Children's Toothbrush 12-Pack,household,"Pack of 12 Alan brand children's toothbrushes with soft bristles. Colourful handles for fun daily brushing habits.",180,66,288
GW-104A USB to iPhone Cable,cables,"Braided USB-A to Lightning charging and data cable. Fast charge compatible with iPhones and Apple devices.",65,23,200
GW-104B USB to Type-C Cable,cables,"Braided USB-A to USB-C charging cable. Fast charge compatible with Android phones tablets and laptops.",65,23,200
GW-104C Type-C to iPhone Cable,cables,"USB-C to Lightning cable for fast charging iPhones from USB-C chargers. Compatible with latest Apple devices.",80,28,200
GW-104D Type-C to Type-C Cable,cables,"USB-C to USB-C cable for charging and data transfer. Compatible with modern Android phones laptops and accessories.",70,25,200
GW-195A USB to iPhone Cable,cables,"Compact USB-A to Lightning charging cable. Compatible with iPhones iPads and Apple accessories.",40,15,200
GW-195B USB to Type-C Cable,cables,"USB-A to USB-C charging and data cable. Compatible with Android phones tablets and USB-C accessories.",40,15,200
GW-195C Type-C to iPhone Cable,cables,"USB-C to Lightning cable for charging iPhones from USB-C ports. Suitable for newer Apple device charging.",55,20,200
GW-195D Type-C to Type-C Cable,cables,"USB-C to USB-C cable for fast charging and data sync. Works with modern Android phones laptops and accessories.",50,18,200
GW-107A USB to iPhone Cable,cables,"Heavy-duty braided USB-A to Lightning cable for fast charging iPhones. Durable nylon braid with reinforced connectors.",80,28,200
GW-107B USB to Type-C Cable,cables,"Heavy-duty braided USB-A to USB-C cable. Durable nylon braid for long-lasting fast charge and data transfer.",80,28,200
GW-107C Type-C to iPhone Cable,cables,"Heavy-duty USB-C to Lightning cable for fast-charging iPhones from USB-C adapters. Braided for extra durability.",100,35,200
GW-107D Type-C to Type-C Cable,cables,"Heavy-duty braided USB-C to USB-C cable for fast charging and data sync. Reinforced connectors for longevity.",80,28,200
GW-2G Memory Card,accessories,"2GB microSD memory card for cameras older smartphones and electronic devices. Reliable storage for everyday use.",80,28,500
GW-4G Memory Card,accessories,"4GB microSD memory card for cameras entry-level smartphones and media players. Consistent read/write performance.",100,35,500
GW-8G Memory Card,accessories,"8GB microSD memory card for smartphones cameras and audio devices. Reliable everyday storage with stable performance.",130,45,500
GW-16G Memory Card,accessories,"16GB microSD memory card for smartphones cameras and dash cams. Good capacity for photos videos and apps.",150,55,500
GW-32G Memory Card,accessories,"32GB microSD card for smartphones cameras and media players. Ample storage for photos music and videos.",190,68,500
GW-64G Memory Card,accessories,"64GB microSD card for smartphones action cameras and dash cams. High capacity for video recording and media storage.",245,88,500
GW-128G Memory Card,accessories,"128GB microSD card for high-capacity storage on smartphones cameras and drones. Ideal for 4K video recording.",360,128,200
GW-170 2G USB Flash Drive,accessories,"2GB USB flash drive for document storage and file transfers. Compact and plug-and-play with USB 2.0 connector.",80,28,500
GW-170 4G USB Flash Drive,accessories,"4GB USB flash drive for portable file and document storage. Compact plug-and-play design with USB 2.0.",100,35,500
GW-170 8G USB Flash Drive,accessories,"8GB USB flash drive for photos documents and media. Compact and lightweight with USB 2.0 interface.",130,45,500
GW-170 16G USB Flash Drive,accessories,"16GB USB flash drive for carrying documents photos and media. Compact design with reliable USB 2.0 performance.",150,55,500
GW-170 32G USB Flash Drive,accessories,"32GB USB flash drive with good capacity for documents videos and software. Compact USB 2.0 plug-and-play.",180,65,500
GW-170 64G USB Flash Drive,accessories,"64GB USB flash drive for large media files backups and software. Compact with reliable USB 2.0 performance.",220,78,500
GW-170 128G USB Flash Drive,accessories,"128GB USB flash drive for large-capacity portable storage. Suitable for full backups software and media libraries.",270,95,200
G-124 Car Phone Bracket,automobile,"Universal car phone holder that mounts to dashboard or air vent. Adjustable grip holds phones securely while driving.",130,48,56
G-128 Car Phone Bracket,automobile,"Universal car phone mount for dashboard or windscreen. Secure grip with 360-degree rotation for easy viewing.",140,50,60
GW-163 Type-C Charger,chargers,"Single-port USB-C wall charger for fast charging modern smartphones. Compact plug suitable for home office and travel.",80,28,200
GW-154 USB Charger,chargers,"Single-port USB-A wall charger for standard charging of smartphones and tablets. Compact design for home and travel.",55,20,200
G-134 Power Bank 10000MAH,power-banks,"10000mAh portable power bank with USB-C input and dual USB-A output. Reliable backup charge for phones and tablets.",380,135,60
G-119 USB + Type-C + Lightning Charger,chargers,"3-in-1 wall charger with USB-A USB-C and Lightning output ports. Charges multiple devices simultaneously at full speed.",160,58,100
GW-180 3-in-1 Charging Cable,cables,"3-in-1 charging cable with Lightning USB-C and Micro-USB tips. One cable charges all major phone types.",150,55,200
GW-151 3-in-1 Charging Cable,cables,"3-in-1 charging cable compatible with Lightning USB-C and Micro-USB devices. Universal charging convenience.",110,40,200
C15-37-1 Cutting Blade 1.1-Inch,tools,"Small angle grinder cutting disc for light metal and tile work. 1.1-inch diameter for compact grinder use.",8,2.8,800
C15-37-2 Cutting Blade 4.5-Inch 180mm,tools,"4.5-inch 180x1.6mm angle grinder cutting disc for metal and steel. Standard fitment for 4.5-inch grinders.",25,9,200
C15-37-3 Cutting Blade 4.5-Inch 230mm,tools,"4.5-inch 230x1.9mm angle grinder cutting disc for steel and metal. Thicker disc for longer-lasting cuts.",30,11,100
C15-37-4 Sandpaper #60 Grit,tools,"#60 coarse-grit sandpaper for heavy material removal and rough surface preparation. Suitable for wood and metal.",3,1,1000
C15-37-5 Sandpaper #80 Grit,tools,"#80 medium-grit sandpaper for general sanding and surface smoothing. Works on wood filler and light rust removal.",3,1,1000
C15-37-6 Sandpaper #120 Grit,tools,"#120 fine-grit sandpaper for smooth finishing of wood and filler. Suitable for final sanding before painting.",3,1,1000
C15-37-7 Abrasive Cloth #120 Grit,tools,"Aluminium oxide abrasive cloth strip in #120 grit for hand sanding curved and flat surfaces. Flexible and durable.",5,1.8,500
C15-37-8 Abrasive Cloth #100 Grit,tools,"Aluminium oxide abrasive cloth in #100 grit for sanding wood metal and filler. Flexible for curved surfaces.",6,2,500
C15-37-9 Abrasive Cloth #80 Grit,tools,"Aluminium oxide abrasive cloth in #80 grit for medium material removal. Flexible strips for hand and block sanding.",7,2.5,500
C15-37-10 Wood Cutting Disc 40T GL23010,tools,"40-tooth 230mm wood cutting disc for circular saws and angle grinders. Clean cuts on soft and hardwood.",90,33,50
C15-37-11 Wood Cutting Disc 30T GL18010,tools,"30-tooth 180mm wood cutting disc for circular saws. Suitable for ripping and cross-cutting timber.",65,23,100
C15-37-12 Diamond Disc 30T 115mm GL11510,tools,"30-segment 115mm diamond cutting disc for tiles granite and stone. Fits standard 4.5-inch angle grinders.",40,14,200
C15-37-13 Diamond Disc 115mm GL11520,tools,"115mm dry-cut diamond disc for ceramic tiles and masonry. Standard 4.5-inch grinder fitment.",40,14,200
C15-37-14 Diamond Disc 180mm GL18020,tools,"180mm dry-cut diamond disc for tiles and stone. Fits 7-inch angle grinders for larger cutting jobs.",90,32,100
C15-37-15 Diamond Disc 230mm GL23020,tools,"230mm dry-cut diamond disc for large-scale tile and masonry cutting. Fits 9-inch angle grinders.",130,48,50
C15-38-1 Speaker Wire 2x10 50M Red-Black,cables,"50-metre reel of 2x10 red-and-black speaker wire for home audio and PA installations. Flexible copper conductor.",60,22,40
C15-38-2 Speaker Wire 2x0.3 100Y Red-Black,cables,"100-yard reel of 2x0.3mm red-and-black speaker wire for home audio wiring. Suitable for bookshelf speakers and surround setups.",85,30,30
C15-38-3 Speaker Wire 2x0.3 100Y Bulk,cables,"100-yard bulk reel of 2x0.3mm red-and-black speaker wire for professional audio installations. Sold per reel.",290,102,10
C15-40-3 Spray Gun 4-Piece Set,tools,"4-piece garden spray gun set with multiple nozzle patterns for watering and cleaning. Connects to standard garden hoses.",80,29,50
C15-42-2 JY-K34 3-Piece Knife Set,kitchen,"3-piece kitchen knife set in blister card. Includes chef knife utility knife and paring knife with matching handles.",130,45,72
C15-42-16 Jia Yuan 2-Piece Knife + Sharpening Rod,kitchen,"2-piece set with kitchen knife and matching sharpening steel. Keeps blades sharp for everyday cooking.",80,28,96
C15-42-17 LD11-1 8-Inch Chef Knife,kitchen,"8-inch stainless steel chef knife with ergonomic handle. Versatile all-purpose blade for chopping slicing and dicing.",40,15,144
C15-42-19 LD-11-5K 7.5-Inch Round-Hole Knife,kitchen,"7.5-inch chef knife with round holes along the blade to reduce food sticking. Sharp edge for daily kitchen prep.",40,15,144
C15-42-20 LD11-6 7.5-Inch Flat Cleaver,kitchen,"7.5-inch flat-top Chinese-style cleaver for vegetables and boneless meat. Comfortable handle and sharp stainless blade.",40,15,144
C15-42-21 Stainless Steel Oil Grid 3-Piece,kitchen,"3-piece set of straight-edge stainless steel oil grids for draining fried foods. Wide-border design for stability.",35,13,144
C15-42-24 Steak Knife Set J622 6-Piece,kitchen,"6-piece colourful-handle steak knife set with serrated stainless steel blades. Suitable for steak and table use.",45,16,144
C15-42-28 Stainless Steel Wire Grater,kitchen,"Fine-wire stainless steel grater for ginger garlic and hard cheese. Easy to clean and rust-resistant.",20,8,240
C15-42-32 9-Inch Square Heart Clip,kitchen,"Stainless steel square-heart pastry and food clip in 9-inch size. For folding wrapping and securing food packages.",35,12.5,240
C15-42-34 Scraper Blade,kitchen,"Flat-blade vegetable and food scraper for peeling and preparation work. Stainless steel for easy cleaning.",20,7.5,400
C15-42-35 Bottle Opener,kitchen,"Stainless steel can and bottle opener for kitchen use. Sturdy design for opening tins jars and bottles.",60,22,96
C15-42-36 Kitchen Scissors 024,kitchen,"Lightweight multi-purpose kitchen scissors for cutting herbs packaging and food. Stainless blades with comfort grip.",20,8,240
C15-42-37 Kitchen Scissors 038,kitchen,"Medium-duty kitchen scissors for food prep and packaging. Stainless steel blades with ergonomic comfort handle.",25,9,240
C15-42-39 Strong Scissors D-54,kitchen,"Heavy-duty strong-cut scissors for thick packaging materials and general kitchen cutting. Durable stainless blades.",55,20,240
C15-42-42 Black Knife Set 6-Piece,kitchen,"6-piece black-handle kitchen knife set for a complete cutting solution. Includes chef utility bread and paring knives.",100,35,50
C15-42-43 BK816 Star Bo Knife Set 8-Piece,kitchen,"8-piece knife block set with matching stainless knives and wooden stand. Complete kitchen knife solution for home chefs.",310,110,20
C15-42-44 18cm Wood Handle Strainer,kitchen,"18cm mesh strainer with long wooden handle for draining pasta noodles and vegetables. Heat-resistant handle.",55,20,200
C15-42-53 Plane Cutter 802611,kitchen,"Flat-blade plane cutter for slicing vegetables cheese and deli meats. Sharp stainless blade with comfortable handle.",60,22,200
C15-42-56 Pizza Cutter,kitchen,"Round-blade pizza cutter with comfortable handle. Sharp stainless steel wheel for clean slices through pizza and pastry.",25,9,144
C15-42-58 Black Angled Spatula,kitchen,"Black-handle angled spatula for flipping frying and serving. Durable nylon or stainless head for non-stick cookware.",30,10,240
C15-42-59 Stainless Steel 4-in-1 Bottle Opener,kitchen,"4-in-1 fat-handle bottle and can opener with multiple functions. Opens bottles cans jars and foil seals.",30,10,360
C15-42-60 Branch Pruning Scissors,household,"Heavy-duty pruning shears for cutting branches plants and garden shrubs. Stainless steel blades with grip handles.",80,29,120
0130-7 13-Piece Non-Stick Pot Set,kitchen,"13-piece non-stick cookware set including 16cm 18cm saucepans 22cm fry pan and 22cm soup pot. Even heat distribution.",360,128,10
0130-8 8-Piece Marble Soup Pot Set,kitchen,"8-piece black marble-coated soup pot set in 20/22/24/26cm sizes. Thick iron construction with iron-wire handles.",810,290,4
0130-9 32cm Stainless Steel Wok,kitchen,"32cm stainless steel wok with long handle for stir-frying and braising. Suitable for all hob types.",380,135,15
0130-10 32cm Granite Wok,kitchen,"32cm granite-coated non-stick wok for healthy low-oil cooking. Easy-release surface and comfortable long handle.",150,52,15
0130-11 Gold Line 10-Piece Cookware Set,kitchen,"10-piece gold-trim cookware set in 16-24cm sizes. Non-stick coating with matching lids for everyday family cooking.",490,175,12
0130-12 4-Piece Diamond Soup Pot Set,kitchen,"4-piece diamond-pattern soup pot set in 16/18/20/22cm. Wire ear handles and heavy-base construction for even heating.",460,165,12
0130-13 6-Piece Stainless Steel Pot Set,kitchen,"6-piece stainless steel pot set in 16/18/20cm sizes. Mirror-finish lids and durable construction for daily cooking.",460,165,12
0130-14 Export 10-Piece Gold Handle Cookware Set,kitchen,"10-piece export-quality cookware set with gold handles in 16-24cm. Non-stick coating with matching glass lids.",600,215,12
0130-15 Colorful 13-Piece Cookware Set,kitchen,"13-piece colourful non-stick cookware set for a complete kitchen solution. Includes various pots pans and lids.",410,148,10
0130-16 13-Piece Non-Stick Cookware Set,kitchen,"13-piece non-stick cookware set suitable for family cooking. Even heat distribution with durable coating.",320,115,16
0130-17 6-Piece Iron Soup Pot Set,kitchen,"6-piece iron soup pot set in 18/20/22cm. Heavy-base iron pots for soups stews and slow cooking.",480,170,10
ER-0278 Mini Straw Box 6-Piece,kitchen,"6-piece mini straw set in pull-out gift box. Reusable colourful straws suitable for drinks and entertaining.",85,30,40
22# 6-Piece Knife Box Set,kitchen,"6-piece knife set in presentation box with textured handles. Includes various steak and utility knives for table use.",100,35,50
Fan-Handle 6-Piece Black Knife Set,kitchen,"6-piece black fan-shaped-handle knife set with stainless steel blades. Stylish design for home kitchen use.",210,75,30
SG-9200 Knife Set,kitchen,"SG-9200 kitchen knife set with stainless steel blades and matching handles. Suitable for everyday meal preparation.",200,72,30
ER-0238A Large Craft Steak Knife 6-Piece,kitchen,"6-piece thick-handle steak knife set with serrated blades. Suitable for table use and steak cutting.",180,65,30
CL-P303 3-Piece Kitchen Knife Set,kitchen,"3-piece stainless kitchen knife set including chef utility and paring knife. Comfortable handles and sharp edges.",100,36,72
25cm Wire Mesh Basket,kitchen,"25cm round wire mesh basket for washing draining and storing vegetables and fruit. Rust-resistant wire construction.",55,20,100
8269S2 4-Sided Grater 9-Inch,kitchen,"9-inch four-sided box grater with fine medium coarse and slicer surfaces. Stainless steel with colour-coded handle.",50,18,96
8359S2 6-Sided Grater 9-Inch,kitchen,"9-inch six-sided box grater with multiple grating surfaces including zester. Colourful handle and stainless steel body.",70,25,96
FE01 Solid Spatula Black Handle,kitchen,"Flat-head solid nylon spatula with black handle for stir-frying and serving. Heat-resistant and non-scratch on non-stick.",35,12,144
FE02 Slotted Spatula Black Handle,kitchen,"Slotted nylon spatula with black handle for draining and flipping. Heat-resistant and suitable for non-stick cookware.",35,12,144
FE08 Pasta Strainer Ladle Black Handle,kitchen,"Pasta strainer ladle with round perforated head and black handle. Ideal for scooping and draining pasta or noodles.",35,12,144
FE06 Soup Ladle Black Handle,kitchen,"Deep-bowl soup ladle with long black handle for serving soups stews and sauces. Heat-resistant nylon construction.",35,12,144
FE07 Strainer Ladle Black Handle,kitchen,"Fine-mesh strainer ladle with black handle for skimming soups and sauces. Heat-resistant for everyday kitchen use.",35,12,144
FE10 Egg Whisk Black Handle,kitchen,"Wire egg whisk with black handle for beating eggs cream and batters. Flexible wire loops for efficient mixing.",35,12,144
K-001 Black Handle Cleaver Blister Pack,kitchen,"Black-handle vegetable cleaver in retail blister card. Sharp stainless steel blade for chopping and daily kitchen prep.",80,28,120
K-601 Orange Handle Cleaver Blister Pack,kitchen,"Orange-handle vegetable cleaver in retail blister card. Sharp stainless steel blade for daily cooking prep.",70,25,120
GF-7 Inch Japanese Gold-Spray Knife,kitchen,"7-inch Japanese-style chef knife with gold spray finish and blade cover. Sharp stainless blade for everyday cooking.",55,20,144
JY-B24 Knife and Sharpening Rod Set,kitchen,"2-piece set including a kitchen knife and matching sharpening steel. Keeps blades sharp for reliable kitchen use.",80,28,96
LD11-2 8-Inch Meat Cleaver,kitchen,"8-inch stainless steel meat cleaver for cutting boneless meat and vegetables. Comfortable handle and durable blade.",40,15,144
C-110 Plastic Handle Cleaver,kitchen,"1.2mm stainless steel Chinese cleaver with plastic handle. Suitable for vegetables and everyday kitchen cutting.",55,20,120
LXG410 12-Inch Plum Blossom Tongs,kitchen,"12-inch decorative tong clip for serving and plating food. Lightweight stainless steel with spring mechanism.",17,6,500
LXG410 10-Inch Plum Blossom Tongs,kitchen,"10-inch stainless steel tong clip for food serving and plating. Compact spring-loaded design for easy one-hand use.",15,5.5,500
LS2B Fork Small Knife Set,kitchen,"Plastic-handle fork and small knife combination for light cutting and serving tasks. Lightweight and easy to clean.",35,13,288
XB2022#D10 Egg Tongs 10-Inch,kitchen,"10-inch stainless steel egg and food tongs for lifting and turning during cooking. Heat-resistant and easy to grip.",30,10,360
M06-41 U-Type Ginger Grater,kitchen,"U-shaped stainless steel grater for ginger garlic and hard spices. Fine grating surface with comfortable grip.",35,13,240
BM Plastic-Edge Round Grater,kitchen,"Round-handle plastic-edge box grater for vegetables and cheese. Multiple grating faces for versatile food prep.",20,7.5,400
HT054-2 Wide-Rim Mesh Strainer,kitchen,"Wide-rim mesh strainer in 7 and 11.5-inch sizes for draining vegetables pasta and noodles. Stainless mesh construction.",30,10,144
T-013 Wood Base 8-Piece Knife Block Set,kitchen,"8-piece kitchen knife set with wooden block stand. Includes chef utility bread and steak knives for complete home kitchen.",310,110,20
20cm Wood Handle Strainer,kitchen,"20cm mesh strainer with long wooden handle for draining and scooping. Reinforced frame for heavy daily use.",100,37,200
10cm Ashtray,household,"10cm round glass or ceramic ashtray for indoor use. Compact size with stable base for home or office use.",20,8,350
12cm Ashtray,household,"12cm round ashtray with wider base for indoor use. Suitable for home bars restaurants and offices.",25,9,240
D7500 Large-Mouth Nail Card,accessories,"Large-mouth nail blister card display for retail hardware. Used for mounting and displaying small fixings.",14,5,360
YB-209 Vegetable Grater,kitchen,"Compact flat vegetable grater with fine grating surface. Suitable for grating ginger garlic and hard vegetables.",14,5,480
MYD6603 Vegetable Grater,kitchen,"Compact flat grater for fine grating of vegetables spices and cheese. Easy-to-clean stainless grating surface.",15,5.5,480
MYD6637 Vegetable Grater,kitchen,"Flat vegetable grater with slightly larger grating area. Suitable for grating vegetables hard cheese and spices.",17,6,525
AJM8853 Vegetable Grater,kitchen,"Multi-surface vegetable and food grater with ergonomic design. Sharp stainless grating surface for quick food prep.",35,12,240
GJ-313 Vegetable Grater,kitchen,"Rotary or flat multi-surface food grater for vegetables cheese and ginger. Durable stainless construction.",60,22,480
Small Garlic Mortar Set,kitchen,"Small mortar and pestle set for crushing garlic herbs and spices. Includes net bag for easy cleanup.",40,14,80
3-Piece Two-Colour Knife Set,kitchen,"3-piece two-tone handled kitchen knife set including chef paring and utility knife. Clearance line at discounted price.",35,12,240
TA-201 Kitchen Spatula,kitchen,"General-purpose kitchen spatula for frying flipping and serving. Lightweight and heat-resistant for daily use.",20,8,600
WL-264 36cm Dish Rack,kitchen,"36cm stainless steel dish draining rack for drying plates cups and cutlery. Slotted design for efficient air drying.",260,92,12
C15-44-1 KZH Stainless Steel Spoon 12-Pack,kitchen,"Pack of 12 KZH brand stainless steel dessert spoons with decorative fan-tail handle. Suitable for everyday table use.",30,10,100
C15-44-2 KZH Stainless Steel Fork 12-Pack,kitchen,"Pack of 12 KZH stainless steel dinner forks with decorative fan-tail handle. Suitable for everyday dining.",30,10,100
C15-44-3 KZH Stainless Steel Knife 12-Pack,kitchen,"Pack of 12 KZH stainless steel table knives with fan-tail handle. Suitable for everyday cutting and dining.",60,22,100
C15-44-5 SCF Spoon 6-Pack,kitchen,"Pack of 6 SCF kitchen series stainless steel spoons with machine-polished handles. Suitable for everyday table use.",40,14,100
C15-44-6 SCF Fork 6-Pack,kitchen,"Pack of 6 SCF kitchen series stainless steel forks with machine-polished handles. Suitable for everyday dining.",40,14,100
0144-13 SCF Silver Knife 6-Pack,kitchen,"Pack of 6 SCF silver-finish stainless steel table knives with polished handles. For everyday dining and meal service.",50,18,100
C15-44-7 SCF Gold Spoon 6-Pack,kitchen,"Pack of 6 SCF gold-finish stainless steel spoons with titanium grape-flower handle design. Elegant table setting.",40,15,100
C15-44-8 SCF Gold Fork 6-Pack,kitchen,"Pack of 6 SCF gold-finish stainless steel forks with titanium grape-flower handle. Elegant for special occasions.",40,15,100
0144-14 SCF Gold Knife 6-Pack,kitchen,"Pack of 6 SCF gold-finish stainless steel table knives with titanium grape-flower handle. For formal or everyday dining.",110,38,100
C15-47-1 Pumpkin Bowl 4.5-Inch,kitchen,"4.5-inch ceramic pumpkin-shaped bowl for condiments snacks and small servings. Decorative design for table use.",14,5,120
C15-47-2 Pumpkin Bowl Medium,kitchen,"Medium ceramic pumpkin-shaped bowl for snacks soups and condiments. Decorative design suitable for table settings.",17,6,90
C15-47-3 Ceramic Bowl,kitchen,"Ceramic everyday dining bowl suitable for rice noodles and soups. Durable glaze finish for daily household use.",15,5.5,100
C15-47-4 Pearl-Dot Bowl 6-Piece Design,kitchen,"Ceramic bowl with 6-pearl-dot embossed pattern. Durable glaze finish suitable for rice soup and daily dining.",35,12.5,48
